country_code,date_year,life_expectancy,infant_mortality,death_rate,fertility_rate,population_total,health_expenditure_pct_gdp,hospital_beds_per_1000,gdp_usd,gdp_per_capita_usd,gdp_growth_percent,gnp_per_capita_usd,inflation_percent,unemployment_percent,literacy_rate,education_expenditure_pct_gdp,population_growth_percent,poverty_headcount_1_90,income_share_top_20,climate_disaster_impact_percent
USA,1993,75.419512195122,8.5,8.8,2.0195,259919000,,4.5,6858559000000.0,26387.2937338171,2.75179586709815,26390,2.95165696638559,6.9,,,1.31867999977741,0.7,22.9,
USA,1994,75.619512195122,8.2,8.8,2.0015,263126000,,4.3000001907,7287236000000.0,27694.853416234,4.02902272983438,27660,2.60744159215453,6.119,,,1.2262960888682,0.7,22.7,
USA,1995,75.6219512195122,7.9,8.8,1.978,266278000,,4.0999999046,7639749000000.0,28690.8757013347,2.6844307317787,29040,2.80541968853662,5.65,,,1.19078709090209,0.7,22.7,
USA,1996,76.0268292682927,7.7,8.8,1.976,269394000,,3.9000000954,8073122000000.0,29967.7127181749,3.77277269119453,30270,2.93120419993441,5.451,,,1.16341161998189,0.7,22.6,
USA,1997,76.4292682926829,7.5,8.7,1.971,272657000,,3.7999999523,8577554457000.0,31459.1389804773,4.44712793566428,31280,2.33768993730735,5.0,,,1.20396029701272,0.7,22.5,
USA,1998,76.5804878048781,7.3,8.6,1.999,275854000,,3.7000000477,9062818202000.0,32853.6769523009,4.48313335374613,32040,1.55227909874364,4.511,,,1.16571452642589,0.7,22.6,
USA,1999,76.5829268292683,7.2,8.6,2.0075,279040000,,3.5999999046,9631174489000.0,34515.3902272076,4.78842504725272,33680,2.18802719697358,4.219,,,1.14834004729055,0.7,22.6,
USA,2000,76.6365853658537,7.1,8.5,2.056,282162411,12.49002552,3.48,10250947997000.0,36329.9560727102,4.07758575682804,35960,3.37685727149929,3.992,,,1.11276899679534,0.7,22.4,
USA,2001,76.8365853658537,7.0,8.5,2.0305,284968955,13.16816998,3.46,10581929774000.0,37133.623113437,0.955538348341605,36710,2.82617111885407,4.731,,,0.989741382223669,1.0,22.3,
USA,2002,76.9365853658537,7.0,8.5,2.0205,287625193,13.99534702,3.38,10929112955000.0,37997.7596573051,1.70044732643726,37320,1.58603162650601,5.783,,,0.927797485710314,1.0,22.6,
